iter	Passed	Remaining
434	29312	38072
435	29394	38023
436	29729	38300
437	29863	38318
438	30073	38430
439	30211	38451
440	30395	38528
441	30539	38554
442	30747	38659
443	30817	38591
444	30878	38511
445	30953	38448
446	31046	38408
447	31124	38350
448	31223	38316
449	31439	38426
450	31621	38492
451	31838	38600
452	31974	38608
453	32036	38527
454	32093	38442
455	32152	38357
456	32213	38275
457	32278	38198
458	32344	38123
459	32436	38078
460	32621	38140
461	32807	38204
462	32949	38215
463	33069	38201
464	33154	38144
465	33240	38090
466	33339	38051
467	33456	38032
468	33537	37971
469	33619	37911
470	33765	37923
471	33896	37918
472	33963	37841
473	34040	37774
474	34113	37704
475	34178	37625
476	34276	37581
477	34435	37605
478	34559	37589
479	34767	37664
480	34859	37613
481	34927	37536
482	34993	37456
483	35175	37501
484	35309	37493
485	35415	37455
486	35491	37386
487	35568	37318
488	35632	37235
489	35725	37184
490	35806	37119
491	35870	37037
492	35937	36958
493	36002	36877
494	36067	36796
495	36127	36710
496	36198	36635
497	36266	36558
498	36331	36477
499	36388	36388
500	36442	36296
501	36498	36207
502	36546	36110
503	36599	36018
504	36649	35923
505	36694	35824
506	36758	35743
507	36823	35664
508	36879	35574
509	36928	35479
510	36982	35390
511	37030	35294
512	37084	35204
513	37134	35111
514	37185	35018
515	37233	34924
516	37281	34829
517	37331	34736
518	37383	34646
519	37428	34549
520	37476	34455
521	37526	34363
522	37575	34270
523	37625	34178
524	37673	34085
525	37727	33998
526	37778	33907
527	37831	33818
528	37879	33726
529	37927	33633
530	37982	33547
531	38030	33455
532	38078	33363
533	38122	33267
534	38200	33202
535	38298	33153
536	38406	33113
537	38492	33054
538	38545	32967
539	38611	32891
540	38679	32816
541	38747	32742
542	38846	32693
543	38991	32684
544	39068	32616
545	39116	32525
546	39164	32433
547	39227	32355
548	39297	32282
549	39346	32192
550	39414	32118
551	39471	32034
552	39519	31944
553	39569	31855
554	39624	31771
555	39674	31682
556	39734	31601
557	39810	31534
558	39879	31461
559	39941	31382
560	39993	31296
561	40046	31210
562	40100	31125
563	40151	31038
564	40211	30959
565	40267	30876
566	40325	30795
567	40381	30712
568	40435	30628
569	40490	30545
570	40542	30460
571	40598	30378
572	40648	30291
573	40699	30205
574	40753	30121
575	40797	30031
576	40845	29943
577	40897	29859
578	40946	29772
579	40996	29687
580	41054	29607
581	41104	29521
582	41157	29438
583	41203	29350
584	41255	29267
585	41304	29180
586	41356	29097
587	41408	29013
588	41458	28929
589	41523	28855
590	41582	28777
591	41633	28693
592	41687	28611
593	41739	28529
594	41786	28442
595	41839	28361
596	41887	28275
597	41938	28192
598	41986	28107
599	42036	28024
600	42089	27943
601	42140	27860
602	42190	27776
603	42240	27694
604	42293	27613
605	42343	27530
606	42392	27446
607	42439	27362
608	42499	27286
609	42543	27200
610	42592	27117
611	42643	27035
612	42706	26961
613	42771	26888
614	42830	26812
615	42898	26742
616	42969	26672
617	43029	26597
618	43100	26528
619	43185	26468
620	43255	26399
621	43315	26323
622	43385	26254
623	43448	26180
624	43519	26111
625	43572	26031
626	43639	25961
627	43733	25905
628	43800	25834
629	43867	25763
630	43928	25688
631	43994	25616
632	44060	25545
633	44119	25469
634	44177	25393
635	44230	25314
636	44296	25242
637	44363	25171
638	44655	25228
639	44923	25269
640	45091	25254
641	45178	25193
642	45254	25125
643	45323	25054
644	45384	24979
645	45443	24902
646	45522	24836
647	45587	24763
648	45648	24688
649	45715	24616
650	45776	24540
651	45840	24467
652	45903	24392
653	45966	24318
654	46028	24244
655	46090	24169
656	46158	24097
657	46227	24027
658	46295	23955
659	46355	23879
660	46406	23800
661	46461	23721
662	46561	23666
663	46639	23600
664	46700	23525
665	46754	23447
666	46815	23372
667	46873	23296
668	46938	23223
669	46996	23147
670	47058	23073
671	47120	22999
672	47180	22924
673	47248	22853
674	47317	22782
675	47410	22723
676	47551	22686
677	47665	22637
678	47728	22563
679	47805	22496
680	47877	22427
681	47965	22365
682	48058	22305
683	48155	22247
684	48232	22179
685	48295	22106
686	48358	22032
687	48421	21958
688	48486	21885
689	48572	21822
690	48648	21754
691	48712	21681
692	48773	21606
693	48836	21532
694	48896	21458
695	48969	21389
696	49032	21315
697	49120	21252
698	49273	21218
699	49435	21186
700	49498	21112
701	49578	21046
702	49661	20980
703	49740	20913
704	49798	20837
705	49873	20768
706	49972	20710
707	50058	20645
708	50120	20571
709	50181	20496
710	50245	20423
711	50308	20349
712	50375	20277
713	50440	20204
714	50517	20136
715	50566	20057
716	50630	19983
717	50694	19910
718	50750	19834
719	50814	19761
720	50888	19692
721	50952	19618
722	51002	19540
723	51058	19464
724	51122	19391
725	51181	19316
726	51230	19237
727	51286	19161
728	51347	19088
729	51445	19027
730	51572	18978
731	51659	18913
732	51737	18845
733	51796	18770
734	51862	18698
735	51917	18622
736	51973	18546
737	52023	18469
738	52070	18390
739	52122	18313
740	52172	18235
741	52222	18158
742	52272	18080
743	52321	18002
744	52362	17922
745	52410	17844
746	52467	17770
747	52560	17707
748	52652	17644
749	52774	17591
750	52909	17542
751	53010	17482
752	53114	17422
753	53185	17352
754	53243	17277
755	53302	17203
756	53362	17129
757	53439	17061
758	53503	16988
759	53563	16914
760	53681	16859
761	53793	16801
762	53908	16744
763	53979	16674
764	54045	16602
765	54108	16529
766	54185	16460
767	54253	16389
768	54316	16316
769	54365	16239
770	54416	16162
771	54464	16085
772	54514	16008
773	54571	15934
774	54621	15857
775	54676	15782
776	54728	15707
777	54773	15629
778	54819	15552
779	54868	15475
780	54920	15400
781	54977	15326
782	55025	15249
783	55076	15174
784	55125	15098
785	55173	15021
786	55223	14946
787	55272	14870
788	55321	14794
789	55380	14721
790	55440	14648
791	55491	14573
792	55544	14498
793	55595	14424
794	55636	14346
795	55683	14270
796	55734	14195
797	55792	14122
798	55848	14049
799	55897	13974
800	55948	13899
801	55999	13825
802	56047	13750
803	56095	13674
804	56136	13598
805	56181	13522
806	56229	13447
807	56281	13373
808	56336	13300
809	56400	13229
810	56462	13158
811	56520	13085
812	56579	13014
813	56631	12940
814	56682	12866
815	56732	12792
816	56787	12719
817	56835	12645
818	56910	12577
819	57031	12519
820	57149	12460
821	57246	12396
822	57331	12330
823	57471	12275
824	57527	12202
825	57579	12129
826	57633	12056
827	57692	11984
828	57761	11914
829	57854	11849
830	57945	11784
831	58115	11734
832	58169	11661
833	58217	11587
834	58269	11514
835	58334	11443
836	58401	11373
837	58469	11303
838	58557	11236
839	58690	11179
840	58770	11111
841	58837	11040
842	59019	10991
843	59219	10945
844	59322	10881
845	59468	10825
846	59608	10767
847	59789	10717
848	59955	10663
849	60088	10603
850	60252	10549
851	60469	10504
852	60636	10449
853	60900	10411
854	61299	10395
855	61549	10354
856	61847	10319
857	62059	10270
858	62284	10223
859	62473	10170
860	62721	10125
861	62944	10077
862	63088	10015
863	63150	9940
864	63217	9866
865	63302	9795
866	63382	9722
867	63474	9652
868	63585	9585
869	63681	9515
870	63780	9446
871	63901	9379
872	64010	9311
873	64078	9237
874	64143	9163
875	64213	9089
876	64290	9016
877	64356	8942
878	64430	8869
879	64494	8794
880	64555	8719
881	64616	8644
882	64681	8570
883	64812	8504
884	64953	8440
885	65064	8371
886	65211	8307
887	65327	8239
888	65457	8172
889	65604	8108
890	65691	8036
891	65794	7966
892	65901	7896
893	65987	7823
894	66061	7750
895	66127	7675
896	66197	7601
897	66262	7526
898	66364	7455
899	66493	7388
900	66621	7320
901	66690	7245
902	66775	7172
903	66846	7098
904	66907	7023
905	66978	6949
906	67045	6874
907	67106	6799
908	67182	6725
909	67265	6652
910	67343	6579
911	67434	6506
912	67507	6432
913	67566	6357
914	67629	6282
915	67695	6207
916	67761	6133
917	67811	6057
918	67873	5982
919	67933	5907
920	67996	5832
921	68057	5757
922	68122	5682
923	68191	5608
924	68248	5533
925	68310	5458
926	68373	5384
927	68438	5309
928	68492	5234
929	68539	5158
930	68594	5083
931	68642	5008
932	68692	4932
933	68738	4857
934	68787	4782
935	68831	4706
936	68878	4631
937	68947	4557
938	68993	4482
939	69040	4406
940	69087	4331
941	69135	4256
942	69177	4181
943	69225	4106
944	69271	4031
945	69317	3956
946	69371	3882
947	69418	3807
948	69465	3733
949	69510	3658
950	69559	3584
951	69604	3509
952	69659	3435
953	69708	3361
954	69757	3286
955	69804	3212
956	69848	3138
957	69894	3064
958	69948	2990
959	70015	2917
960	70077	2843
961	70126	2770
962	70176	2696
963	70223	2622
964	70269	2548
965	70318	2474
966	70368	2401
967	70417	2327
968	70465	2254
969	70523	2181
970	70606	2108
971	70665	2035
972	70733	1962
973	70779	1889
974	70824	1816
975	70870	1742
976	70918	1669
977	70964	1596
978	71013	1523
979	71061	1450
980	71106	1377
981	71152	1304
982	71199	1231
983	71245	1158
984	71299	1085
985	71352	1013
986	71400	940
987	71444	867
988	71490	795
989	71537	722
990	71584	650
991	71631	577
992	71673	505
993	71718	432
994	71769	360
995	71818	288
996	71861	216
997	71909	144
998	71951	72
999	72003	0
